seID,SrcIp,DstIp,SrcPort,DstPort,timestamp,ActualUlVolume,ActualDlVolume,ActualTotalVolume,ActualUlPacket,ActualDlPacket,ActualTotalPacket
1,201392386,2170660915,0,0,2024-10-04 19:18:50,128,0,128,1,0,1
1,201392386,2170660915,0,0,2024-10-04 19:18:51,0,84,84,0,1,1
1,201392386,2170660915,0,0,2024-10-04 19:18:52,256,84,340,2,1,3
1,201392386,2170660915,0,0,2024-10-04 19:18:53,128,84,212,1,1,2
1,201392386,2170660915,0,0,2024-10-04 19:18:54,128,84,212,1,1,2
1,201392386,2170660915,0,0,2024-10-04 19:18:55,128,84,212,1,1,2
1,201392386,2170660915,0,0,2024-10-04 19:18:56,128,84,212,1,1,2
1,201392386,2170660915,0,0,2024-10-04 19:18:57,128,84,212,1,1,2
1,201392386,2170660915,0,0,2024-10-04 19:18:58,128,84,212,1,1,2
1,201392386,2170660915,0,0,2024-10-04 19:18:59,128,84,212,1,1,2
1,201392386,2170660915,0,0,2024-10-04 19:19:00,0,84,84,0,1,1
1,201392386,2170660915,0,0,2024-10-04 19:19:01,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:02,666,507,1173,6,6,12
1,201392386,2170660915,0,0,2024-10-04 19:19:02,128,0,128,1,0,1
1,201392386,2170660915,57029,36895,2024-10-04 19:19:03,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:03,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:19:04,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:04,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:19:05,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:05,0,84,84,0,1,1
1,201392386,2170660915,57029,36895,2024-10-04 19:19:06,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:06,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:07,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:07,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:08,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:08,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:19:09,0,0,0,0,0,0
1,201392386,2170660915,0,0,2024-10-04 19:19:09,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:19:10,0,0,0,0,0,0
1,201392386,1145490692,38630,47873,2024-10-04 19:19:10,3516,52813,56329,26,42,68
1,201392386,2170660915,0,0,2024-10-04 19:19:10,128,84,212,1,1,2
1,201392386,2170660915,57029,36895,2024-10-04 19:19:11,0,0,0,0,0,0
1,201392386,1145490692,38630,47873,2024-10-04 19:19:11,576,16656,17232,6,10,16
1,201392386,2170660915,0,0,2024-10-04 19:19:11,0,0,0,0,0,0
1,201392386,2170660915,57029,36895,2024-10-04 19:19:12,0,0,0,0,0,0
